"Kod";"Nazwa";"ogółem;obiekty ogółem lipiec;2013;[ob.]";"ogółem;obiekty ogółem lipiec;2014;[ob.]";"ogółem;obiekty ogółem lipiec;2015;[ob.]";"ogółem;obiekty ogółem lipiec;2016;[ob.]";"ogółem;obiekty ogółem lipiec;2017;[ob.]";"ogółem;obiekty ogółem lipiec;2018;[ob.]";"ogółem;obiekty ogółem lipiec;2019;[ob.]";"ogółem;obiekty ogółem lipiec;2020;[ob.]";"ogółem;obiekty ogółem lipiec;2021;[ob.]";"ogółem;obiekty ogółem lipiec;2022;[ob.]";"ogółem;obiekty ogółem lipiec;2023;[ob.]";"ogółem;obiekty ogółem lipiec;2024;[ob.]";"ogółem;miejsca noclegowe ogółem lipiec;2013;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2014;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2015;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2016;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2017;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2018;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2019;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2020;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2021;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2022;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2023;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2024;[msc.]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2013;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2014;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2015;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2016;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2017;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2018;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2019;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2020;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2021;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2022;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2023;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2024;[osoba]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2013;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2014;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2015;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2016;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2017;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2018;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2019;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2020;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2021;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2022;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2023;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2024;[-]";
0201000;"Powiat bolesławiecki";13;13;13;12;12;18;18;18;16;17;13;16;635;704;760;772;775;882;858;838;845;953;773;909;23294;32724;36851;46327;49224;59708;65989;37947;49509;79942;82413;78040;45114;57635;64381;77037;82127;107394;125711;77139;100607;168391;151852;157788;
0202000;"Powiat dzierżoniowski";10;10;11;14;17;22;21;21;18;19;21;21;553;629;678;870;962;912;986;1137;947;973;1084;1038;16235;18594;22877;32636;44211;41769;49157;31876;38455;53900;59682;50437;65211;67144;74941;82415;84722;72180;86650;58697;70370;98023;113831;99238;
0203000;"Powiat głogowski";5;5;5;5;6;9;8;9;9;9;9;10;391;409;404;404;532;536;314;373;375;437;461;508;19802;18587;0;0;18115;22871;18624;14155;13690;24553;21514;24403;46725;43013;0;0;41515;41777;35965;28729;28781;53132;43217;52097;
0204000;"Powiat górowski";2;2;1;2;1;1;1;1;1;1;1;1;56;56;37;56;37;37;40;37;40;8;37;40;905;614;0;0;0;0;0;0;0;0;0;0;2594;1723;0;0;0;0;0;0;0;0;0;0;
0205000;"Powiat jaworski";9;8;8;11;13;18;17;15;15;14;13;11;602;522;521;719;888;1027;894;739;743;590;572;821;5027;3885;3557;15504;20018;29651;29338;14215;15101;20105;20494;22229;10644;9588;5585;36414;58428;78907;77386;36809;41374;46937;46987;47905;
0206000;"Powiat karkonoski";301;299;270;289;284;300;302;309;272;271;260;263;17348;18025;17367;19322;19218;19731;19787;22562;21819;22250;22829;24678;476249;479840;498075;618324;647323;699004;782168;551452;637919;916606;1042800;1140446;1496594;1486460;1536719;1890557;1893991;2022425;2211253;1683817;1851630;2672852;2906706;3171602;
0207000;"Powiat kamiennogórski";12;11;14;14;13;16;13;13;12;13;13;15;453;376;496;483;419;515;407;498;474;505;398;421;10100;9646;10018;11092;13024;12941;13272;8321;13509;16921;13757;14575;16257;18847;20962;24820;26398;25537;27359;17106;25847;34766;26541;28252;
0208000;"Powiat kłodzki";169;169;169;200;202;217;205;200;189;189;198;229;10900;11007;11134;12887;13054;13951;13563;13535;13256;14026;14383;15249;267845;293230;305009;385516;420144;493728;513484;285644;304918;501102;534912;541440;1104663;1296822;1360763;1674890;1787463;1926510;2003226;1142145;1299715;1978877;2018706;2084117;
0209000;"Powiat legnicki";14;11;11;11;11;13;15;15;14;15;11;18;525;450;358;396;391;509;590;638;503;629;738;942;17457;15121;13705;17671;19426;24637;31195;18011;15226;21994;24932;33810;33284;25404;24846;28695;29122;43158;55388;33763;34124;54090;59823;68039;
0210000;"Powiat lubański";55;51;51;60;54;64;64;61;53;49;51;61;3244;3108;3357;3787;3454;4132;3867;4079;3733;3674;4523;5645;94637;92691;110275;128570;139874;162750;185246;110085;138534;188425;245198;272013;443049;390639;498597;600317;602560;658831;678710;397025;487279;659395;845576;917527;
0211000;"Powiat lubiński";7;11;10;11;11;11;11;11;11;9;9;11;493;725;655;712;727;723;713;795;802;705;729;750;22964;31205;30059;41232;44422;43371;44949;22389;24919;35119;44569;35314;48500;59139;53492;72007;79636;78445;76186;46573;50515;68120;79134;57001;
0212000;"Powiat lwówecki";17;18;17;18;17;18;16;14;13;10;11;18;706;772;712;927;811;917;753;698;709;486;550;766;11034;10348;11974;19766;22178;23791;25004;11438;15025;18179;20064;22731;39609;39167;39484;52789;57493;69787;68603;33574;41183;48444;48979;51244;
0213000;"Powiat milicki";11;9;10;9;9;9;9;7;8;7;10;12;921;529;571;551;565;568;552;290;418;379;573;574;11125;10321;12221;10479;10327;10729;8972;2809;5044;7812;21814;17317;32062;32525;32090;31423;32886;35084;28068;8750;18473;21608;55555;47396;
